Schema,Name,Result data type,Argument data types,Type,Volatility,Parallel,Owner,Security,Access privileges,Language,Source code,Description
pg_catalog,lower_inf,boolean,anyrange,func,immutable,safe,postgres,invoker,,internal,range_lower_inf,is the range's lower bound infinite?
pg_catalog,lowrite,integer,"integer, bytea",func,volatile,unsafe,postgres,invoker,,internal,be_lowrite,large object write
pg_catalog,lpad,text,"text, integer",func,immutable,safe,postgres,invoker,,sql,"RETURN lpad($1, $2, ' '::text)",left-pad string to length
pg_catalog,lpad,text,"text, integer, text",func,immutable,safe,postgres,invoker,,internal,lpad,left-pad string to length
pg_catalog,lseg,lseg,box,func,immutable,safe,postgres,invoker,,internal,box_diagonal,diagonal of
pg_catalog,lseg,lseg,"point, point",func,immutable,safe,postgres,invoker,,internal,lseg_construct,convert points to line segment
pg_catalog,lseg_center,point,lseg,func,immutable,safe,postgres,invoker,,internal,lseg_center,implementation of @@ operator
pg_catalog,lseg_distance,double precision,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_distance,implementation of <-> operator
pg_catalog,lseg_eq,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_eq,implementation of = operator
pg_catalog,lseg_ge,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_ge,implementation of >= operator
pg_catalog,lseg_gt,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_gt,implementation of > operator
pg_catalog,lseg_horizontal,boolean,lseg,func,immutable,safe,postgres,invoker,,internal,lseg_horizontal,implementation of ?- operator
pg_catalog,lseg_in,lseg,cstring,func,immutable,safe,postgres,invoker,,internal,lseg_in,I/O
pg_catalog,lseg_interpt,point,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_interpt,implementation of # operator
pg_catalog,lseg_intersect,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_intersect,implementation of ?# operator
pg_catalog,lseg_le,boolean,"lseg, lseg",func,immutable,safe,postgres,invoker,,internal,lseg_le,implementation of <= operator
